neg,neu,pos,compound,datetime
0.0,1.0,0.0,0.0,2024-06-06 14:54:57.838245
0.0,1.0,0.0,0.0,2024-06-06 14:54:57.858498
0.0,1.0,0.0,0.0,2024-06-06 14:54:57.863125
0.0,0.761,0.239,0.296,2024-06-07 14:54:57.838245
0.0,0.761,0.239,0.296,2024-06-07 14:54:57.847164
0.0,1.0,0.0,0.0,2024-06-07 14:54:57.851089
0.0,0.522,0.478,0.6705,2024-06-07 14:54:57.858498
0.0,1.0,0.0,0.0,2024-06-08 14:54:57.834944
0.0,0.543,0.457,0.8126,2024-06-08 14:54:57.838245
0.0,1.0,0.0,0.0,2024-06-09 14:54:57.851089
0.195,0.719,0.086,-0.4939,2024-06-10 14:54:57.843357
0.0,0.845,0.155,0.296,2024-06-10 14:54:57.848285
0.39,0.61,0.0,-0.6597,2024-06-10 14:54:57.851089
0.0,1.0,0.0,0.0,2024-06-10 14:54:57.851089
0.0,0.702,0.298,0.5267,2024-06-10 14:54:57.851089
0.0,1.0,0.0,0.0,2024-06-10 14:54:57.858498
0.0,0.785,0.215,0.3535,2024-06-10 14:54:57.858498
0.0,1.0,0.0,0.0,2024-06-10 14:54:57.863125
0.0,1.0,0.0,0.0,2024-06-10 14:54:57.867239
0.0,0.828,0.172,0.4404,2024-06-11 14:54:57.858498
0.0,1.0,0.0,0.0,2024-06-11 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-11 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-11 14:56:16.067591
0.0,0.857,0.143,0.128,2024-06-11 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-11 14:56:16.067591
0.0,0.859,0.141,0.2023,2024-06-12 14:56:16.057804
0.0,1.0,0.0,0.0,2024-06-12 14:56:16.059334
0.0,1.0,0.0,0.0,2024-06-12 14:56:16.060062
0.0,0.723,0.277,0.5574,2024-06-12 14:56:16.067591
0.0,0.777,0.223,0.3182,2024-06-12 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-12 14:56:16.067591
0.0,0.87,0.13,0.2023,2024-06-13 14:56:16.057804
0.0,1.0,0.0,0.0,2024-06-13 14:56:16.060062
0.0,0.826,0.174,0.2263,2024-06-13 14:56:16.060062
0.0,0.839,0.161,0.3182,2024-06-13 14:56:16.060062
0.0,0.881,0.119,0.2263,2024-06-13 14:56:16.067591
0.168,0.683,0.149,-0.0772,2024-06-13 14:56:16.067591
0.161,0.839,0.0,-0.3612,2024-06-13 14:56:16.067591
0.0,0.872,0.128,0.2263,2024-06-13 14:56:16.067591
0.072,0.928,0.0,-0.1027,2024-06-13 14:56:16.067591
0.0,0.775,0.225,0.4939,2024-06-14 14:56:16.067591
0.0,0.769,0.231,0.5106,2024-06-15 14:56:16.060062
0.086,0.741,0.173,0.2732,2024-06-15 14:56:16.060062
0.128,0.671,0.201,0.296,2024-06-15 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-16 14:54:57.851089
0.0,0.917,0.083,0.2023,2024-06-16 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-17 14:55:54.907683
0.219,0.581,0.2,-0.0772,2024-06-17 14:55:54.918242
0.0,1.0,0.0,0.0,2024-06-17 14:55:54.919273
0.152,0.69,0.159,0.0258,2024-06-17 14:55:54.920270
0.151,0.849,0.0,-0.1531,2024-06-17 14:55:54.920270
0.0,0.845,0.155,0.296,2024-06-17 14:55:54.921270
0.0,1.0,0.0,0.0,2024-06-17 14:56:16.060062
0.0,0.61,0.39,0.7506,2024-06-17 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-17 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-17 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-17 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-17 14:56:16.067591
0.0,0.762,0.238,0.3612,2024-06-17 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-18 14:54:57.851089
0.0,1.0,0.0,0.0,2024-06-18 14:54:57.863125
0.0,0.876,0.124,0.4767,2024-06-18 14:55:54.914704
0.0,1.0,0.0,0.0,2024-06-18 14:55:54.917704
0.206,0.794,0.0,-0.3818,2024-06-18 14:55:54.919273
0.0,0.787,0.213,0.4019,2024-06-18 14:55:54.920270
0.0,1.0,0.0,0.0,2024-06-18 14:55:54.920270
0.0,1.0,0.0,0.0,2024-06-18 14:55:54.921270
0.0,0.867,0.133,0.3182,2024-06-18 14:56:16.060062
0.148,0.852,0.0,-0.3818,2024-06-18 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-18 14:56:16.067591
0.187,0.813,0.0,-0.3182,2024-06-18 14:56:16.067591
0.0,0.859,0.141,0.2023,2024-06-18 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-18 14:56:16.067591
0.318,0.682,0.0,-0.4215,2024-06-18 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-19 14:55:54.921270
0.0,0.588,0.412,0.6369,2024-06-19 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-20 14:55:54.917704
0.179,0.662,0.159,-0.0772,2024-06-20 14:55:54.918242
0.108,0.67,0.222,0.296,2024-06-20 14:55:54.919273
0.0,1.0,0.0,0.0,2024-06-20 14:55:54.919273
0.122,0.698,0.18,-0.0,2024-06-20 14:56:16.059334
0.0,0.87,0.13,0.2023,2024-06-20 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-20 14:56:16.060062
0.0,1.0,0.0,0.0,2024-06-21 14:55:54.918242
0.0,1.0,0.0,0.0,2024-06-21 14:55:54.920270
0.0,0.73,0.27,0.743,2024-06-21 14:56:16.060062
0.367,0.51,0.122,-0.5859,2024-06-21 14:56:16.067591
0.0,0.748,0.252,0.4019,2024-06-21 14:56:16.067591
0.203,0.797,0.0,-0.4215,2024-06-21 14:56:16.067591
0.0,1.0,0.0,0.0,2024-06-21 14:56:38.217991
0.0,1.0,0.0,0.0,2024-06-21 14:56:38.225037
0.0,0.675,0.325,0.6486,2024-06-21 14:56:38.227896
0.0,1.0,0.0,0.0,2024-06-21 14:56:38.227896
0.0,1.0,0.0,0.0,2024-06-22 14:56:38.225037
0.0,1.0,0.0,0.0,2024-06-23 14:56:59.269932
0.0,0.789,0.211,0.34,2024-06-23 14:56:59.277551
0.141,0.859,0.0,-0.2023,2024-06-23 14:56:59.277551
0.157,0.843,0.0,-0.4215,2024-06-24 14:56:59.267387
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.269932
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.269932
0.268,0.732,0.0,-0.296,2024-06-24 14:56:59.269932
0.0,0.9,0.1,0.2732,2024-06-24 14:56:59.270993
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.270993
0.107,0.777,0.117,0.0516,2024-06-24 14:56:59.270993
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.270993
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.270993
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.270993
0.195,0.805,0.0,-0.4404,2024-06-24 14:56:59.270993
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.270993
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.270993
0.127,0.873,0.0,-0.1531,2024-06-24 14:56:59.277551
0.227,0.773,0.0,-0.6249,2024-06-24 14:56:59.277551
0.0,0.847,0.153,0.2023,2024-06-24 14:56:59.277551
0.36,0.64,0.0,-0.5423,2024-06-24 14:56:59.277551
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.277551
0.167,0.833,0.0,-0.4215,2024-06-24 14:56:59.277551
0.196,0.804,0.0,-0.296,2024-06-24 14:56:59.277551
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.277551
0.124,0.876,0.0,-0.1779,2024-06-24 14:56:59.277551
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.277551
0.0,0.933,0.067,0.0772,2024-06-24 14:56:59.277551
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.277551
0.0,0.769,0.231,0.4019,2024-06-24 14:56:59.277551
0.0,1.0,0.0,0.0,2024-06-24 14:56:59.277551
0.0,0.845,0.155,0.296,2024-06-25 16:03:04.680710
0.0,0.769,0.231,0.34,2024-06-25 16:16:31.129152
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.130162
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.130162
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.132179
0.144,0.856,0.0,-0.4019,2024-06-25 16:16:31.132179
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.133455
0.194,0.806,0.0,-0.34,2024-06-25 16:16:31.135469
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.136484
0.0,0.853,0.147,0.2263,2024-06-25 16:16:31.137489
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.137489
0.134,0.498,0.368,0.5719,2024-06-25 16:16:31.138482
0.303,0.337,0.36,0.128,2024-06-25 16:16:31.138482
0.237,0.763,0.0,-0.4215,2024-06-25 16:16:31.139020
0.0,0.821,0.179,0.34,2024-06-25 16:16:31.139020
0.206,0.794,0.0,-0.3818,2024-06-25 16:16:31.140049
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.140049
0.0,0.667,0.333,0.5423,2024-06-25 16:16:31.141055
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.141055
0.0,0.826,0.174,0.2263,2024-06-25 16:16:31.142051
0.0,0.781,0.219,0.4215,2024-06-25 16:16:31.142051
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.143050
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.143050
0.0,0.708,0.292,0.5106,2024-06-25 16:16:31.144048
0.0,0.84,0.16,0.2263,2024-06-25 16:16:31.146049
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.146049
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.147050
0.0,0.878,0.122,0.2023,2024-06-25 16:16:31.147050
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.147050
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.149606
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.149606
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.149606
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.150612
0.0,0.734,0.266,0.4404,2024-06-25 16:16:31.151771
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.152280
0.155,0.845,0.0,-0.296,2024-06-25 16:16:31.152280
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.153303
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.153303
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.153303
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.154307
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.154307
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.155304
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.155304
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.156301
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.156301
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.157304
0.0,0.811,0.189,0.2732,2024-06-25 16:16:31.157304
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.157304
0.0,0.741,0.259,0.4215,2024-06-25 16:16:31.157304
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.158814
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.159824
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.160824
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.161831
0.0,0.724,0.276,0.6369,2024-06-25 16:16:31.161831
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.161831
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.162831
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.162831
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.163831
0.18,0.82,0.0,-0.296,2024-06-25 16:16:31.164831
0.0,0.732,0.268,0.5106,2024-06-25 16:16:31.165833
0.0,0.732,0.268,0.5106,2024-06-25 16:16:31.167862
0.0,0.708,0.292,0.5106,2024-06-25 16:16:31.167862
0.0,0.708,0.292,0.5106,2024-06-25 16:16:31.168833
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.169368
0.0,1.0,0.0,0.0,2024-06-25 16:16:31.169368
0.0,0.809,0.191,0.3818,2024-06-25 16:16:31.170378
0.0,0.893,0.107,0.2023,2024-06-25 16:16:31.170378
0.0,1.0,0.0,0.0,2024-06-25 16:56:59.277551
0.0,1.0,0.0,0.0,2024-06-25 17:16:31.133455
0.0,0.692,0.308,0.5994,2024-06-25 17:16:31.133455
0.0,1.0,0.0,0.0,2024-06-25 17:16:31.147050
0.0,1.0,0.0,0.0,2024-06-25 17:16:31.155304
0.0,0.708,0.292,0.5106,2024-06-25 17:16:31.165833
0.0,1.0,0.0,0.0,2024-06-25 18:03:04.680710
0.0,1.0,0.0,0.0,2024-06-25 18:16:31.129152
0.0,0.704,0.296,0.6486,2024-06-25 18:16:31.131197
0.0,1.0,0.0,0.0,2024-06-25 18:16:31.135469
0.0,1.0,0.0,0.0,2024-06-25 19:16:31.136484
0.14,0.86,0.0,-0.3818,2024-06-25 19:16:31.148686
0.0,1.0,0.0,0.0,2024-06-25 19:56:59.267387
0.098,0.607,0.294,0.6369,2024-06-25 21:16:31.127647
0.098,0.622,0.28,0.6249,2024-06-25 21:16:31.163831
0.0,0.864,0.136,0.296,2024-06-25 21:16:31.164831
0.245,0.755,0.0,-0.3818,2024-06-25 21:16:31.171391
0.0,1.0,0.0,0.0,2024-06-25 22:16:31.145036
0.0,0.694,0.306,0.296,2024-06-25 22:16:31.148575
0.0,0.68,0.32,0.5719,2024-06-25 22:56:59.257443
0.0,1.0,0.0,0.0,2024-06-25 23:03:04.695939
0.173,0.827,0.0,-0.3182,2024-06-25 23:16:31.160824
0.0,1.0,0.0,0.0,2024-06-26 02:16:31.126640
0.387,0.613,0.0,-0.6501,2024-06-26 02:16:31.134467
0.0,1.0,0.0,0.0,2024-06-26 02:16:31.150612
0.224,0.776,0.0,-0.3818,2024-06-26 02:16:31.166831
0.0,1.0,0.0,0.0,2024-06-26 14:00:00.898265
0.0,0.787,0.213,0.4019,2024-06-26 14:00:00.909197
0.0,1.0,0.0,0.0,2024-06-26 14:00:00.909197
0.355,0.645,0.0,-0.6705,2024-06-26 14:00:00.913034
0.0,1.0,0.0,0.0,2024-06-26 14:00:00.917041
0.0,1.0,0.0,0.0,2024-06-27 13:59:43.577166
0.0,1.0,0.0,0.0,2024-06-27 13:59:43.588415
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.897262
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.898265
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.899265
0.179,0.821,0.0,-0.34,2024-06-27 14:00:00.900779
0.0,0.769,0.231,0.6249,2024-06-27 14:00:00.900779
0.0,0.845,0.155,0.296,2024-06-27 14:00:00.903076
0.0,0.549,0.451,0.4767,2024-06-27 14:00:00.903076
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.903076
0.0,0.855,0.145,0.296,2024-06-27 14:00:00.907139
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.907195
0.0,0.773,0.227,0.6249,2024-06-27 14:00:00.907195
0.2,0.467,0.333,0.25,2024-06-27 14:00:00.908197
0.127,0.873,0.0,-0.1531,2024-06-27 14:00:00.910748
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.913034
0.0,1.0,0.0,0.0,2024-06-27 14:00:00.914044
